Persona,Approx Group,Date Active,Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Suspended
0Hour,,2017-12-22,Suspended,@0HOUR1BANNED,937413588616085506,0HOUR1 (Brian DiPietro),,,2017-12-03,
0Hour,,2018-02-16,Suspended,@__0HOUR1___,1303193196286017537,0,,,2020-09-08,
0Hour,,2018-04-12,Suspended,@0H0UR,1146025687465308162,🇨🇴 ⏰01⏰ 🇨🇴,,,2019-07-02,
0Hour,,2018-04-12,Suspended,@0H0UR1,725012832,0,,,,
0Hour,,2018-08-19,Suspended,@___0HOUR1___,1101911112872747008,@0HOUR1,,,2019-03-02,
0Hour,,2021-11-25,Inactive,@____0HOUR1___,1368742045976653824,0HOUR1,1385,,2021-03-07,
45th,,2020-06-23,Suspended,@_Johann_S_Bach_,972258980822245376,45th Division,,,2018-03-10,2020-06-23
45th,,2020-06-26,Suspended,@Their_Big_Noses,1275233969248841728,45th Division,,,2020-06-23,
45th,,2020-08-25,Suspended,@45THD1V1S1ON___,1277369549499834370,45th Division,977,,2020-06-29,2020-08-25
45th,,2020-10-26,Suspended,@JackTownson14,1299867736638738434,45TH DIVISION,698,,2020-06-29,2020-10-26
45th,,2020-11-02,Deleted,@The45thProphet,1323043653116432384,The 45th Prophet,,,2020-11-02,
Absolute Zero,Shed adj,2019-11-01,Suspended,@Abs0lut3_ZR0,1148289469302398976,Absolute Zerø,243,,2019-07-08,
Absolute Zero,Shed adj,2021-02-18,Suspended,@Resonance_Freqq,1195485718774194178,Absølute Zerø,1089,,2019-11-15,2022-03-03
Absolute Zero,Shed adj,2022-03-13,Suspended,@Good_____Person,1468309111632646144,Absølute Zerø 🇧🇪,195,,2021-12-07,2022-03-14
Absolute Zero,Shed adj,2022-03-15,Suspended,@M0nster__Zer0,1503365061427052546,Mønster Zerø,90,,2022-03-14,2022-03-16
Absolute Zero,Shed adj,2022-03-18,Suspended,@Zero___Respect,1504083193653248004,Zero,73,,2022-03-16,2022-03-20
Absolute Zero,Shed adj,2022-03-29,Suspended,@Resolute_0,1507736623982727170,Resolute Zęrø,67,,2022-03-26,2022-03-30
Absolute Zero,Shed adj,2022-04-06,Suspended,@Lazarus_Zer0,1509128773454680069,Z3r0,76,,2022-03-30,2022-04-07
Absolute Zero,Shed adj,2022-04-25,Suspended,@Abs0lute___Zer0,1512016156080709637,Absølute Zerø,85,,2022-04-07,2022-04-26
Absolute Zero,Shed adj,2022-05-20,Suspended,@FourthRake,1526014309222035456,𝒵𝖊𝖗𝖔,75,,2022-05-15,2022-05-22
Ace,Nazi,2022-02-01,Suspended,@PunishedAce,1478284973027172352,Punished Ac3 ✠,383,,2022-01-04,2022-02-04
Ace,Nazi,2022-02-20,Suspended,@Ac3ofSpades88,1489398872589799424,,,,2022-02-03,2022-02-20
Ace,Nazi,2022-02-21,Suspended,@Ac3_17_76_,1495640853670350850,Ac3 ♠️,68,,2022-02-20,2022-02-23
Ace,Nazi,2022-02-23,Suspended,@Ac3_1488,1496521153468268544,Ac3 1488,145,,2022-02-23,2022-02-24
Ace,Nazi,2022-02-24,Suspended,@Ac3TheWignat88,1496922668699848705,✝️🇺🇸Ace⚡️⚡️,107,,2022-02-24,2022-02-25
Ace,Nazi,2022-02-25,Suspended,@Colonizer_1488,1497267020290686977,⚡️⚡️AC3🇺🇸✝️,35,,2022-02-25,2022-02-28
Ace,Nazi,2022-02-27,Suspended,@AceOfSpades88_,1497316805077045250,Ace🇺🇸|🇬🇧🇩🇪🇩🇰🇳🇴🇸🇪🇮🇸,136,,2022-02-25,2022-02-28
Ace,Nazi,2022-02-27,Suspended,@WignatFren1488,1497417425972707328,Ace_Racism Enthusiast,91,,2022-02-25,2022-02-28
Ace,Nazi,2022-03-03,Suspended,@AmericanWignat,1498375169592672262,Democracy hater,114,,2022-02-28,2022-03-03
Ace,Nazi,2022-03-17,Suspended,@ChristFan1776,1499445154649821198,/\ce,78,,2022-03-03,2022-03-17
Ace,Nazi,2022-03-21,Suspended,@NS_4ce_1776,1504515065621344267,,,,2022-03-17,2022-03-21
Ace,Nazi,2022-03-22,Suspended,@DepressedAryan,1505943308429783041,@(e,56,,2022-03-21,2022-03-23
Ace,Nazi,2022-06-07,Suspended,@Ace_1488,,,,,,2022-06-07
Ace,Nazi,2022-06-23,Suspended,@AryanAmerican76,,,,,,2022-06-23
Ace,Nazi,2022-07-09,Suspended,@VengefulAryan,,,,,,2022-07-09
Ace,Nazi,2022-07-13,Suspended,@Illegal_Aryan,,,,,,2022-07-14
Ace,Nazi,2022-07-15,Suspended,@AryanFren,,,,,,2022-07-16
AF Spongebob,America First,2022-05-26,Suspended,@niggaballs4kHD,1518715867542220800,sewer lizard,564,,2022-04-25,2022-05-26
AF Spongebob,America First,2022-05-26,Suspended,@AFspongebob,,,,,,2022-01-12
AF Spongebob,America First,2022-05-28,Suspended,@ballfarter22,1529837522133536768,,,,2022-05-26,2022-05-29
AF Spongebob,America First,2022-06-05,Suspended,@starwarsfacts89,,,,,,2022-06-06
AF Spongebob,America First,2022-06-08,Suspended,@spreadblasphemy,1523515575628034049,,,,2022-05-08,2022-06-07
AF Zoomer,America First,2020-01-19,Suspended,@AFzoomer,,,,,,2020-01-19
AF Zoomer,America First,2022-05-12,Suspended,@AFzoomer_,1387583627580616704,AFzoomer🇺🇸🌲,571,,2021-04-28,2022-05-05
AF Zoomer,America First,2022-05-19,Suspended,@AFzoomerr,,,,,,2022-05-19
AF Zoomer,America First,2022-05-20,Suspended,@AFZ00MER,1527369232761372672,𝐀𝐅𝐳𝐨𝐨𝐦𝐞𝐫🇺🇸🌲 (REFOLLOW),226,,2022-05-19,2022-05-20
AF Zoomer,America First,2022-05-24,Suspended,@based_york,1431462134056165381,America First Zoomer,327,,2021-08-27,2022-05-26
AF Zoomer,America First,2022-05-26,Suspended,@AFZ00M3R,,,,,,2022-05-25
AF Zoomer,America First,2022-05-27,Suspended,@catholicbladee,1528585778825154562,,,,2022-05-22,2022-05-27
AF Zoomer,America First,2022-05-29,Suspended,@AFZO0MER,1529566808981884928,𝙰𝙵𝚣𝚘𝚘𝚖𝚎𝚛🇺🇸🌲,64,,2022-05-25,2022-05-31
AF Zoomer,America First,2022-06-01,Suspended,@AFzoomr,,,,,,2022-06-01
AF Zoomer,America First,2022-06-15,Suspended,@AFzoomer3000,,,,,,2022-06-15
AF Zoomer,America First,2022-06-17,Suspended,@letseatbrandon,,,,,,2022-06-17
AF Zoomer,America First,2022-06-23,Suspended,@WHlTEMONSTER,,,,,,2022-06-23
AF Zoomer,America First,2022-06-25,Suspended,@RealTedFren,,,,,,2022-06-25
Afreewhiteman,Nazi,2019-10-23,Suspended,@AFreeWhiteManx4,1172680528530673667,Asha’Man,,,2019-09-15,
Afreewhiteman,Nazi,2019-11-09,Suspended,@AFreeWhiteManX6,1193683038510735361,Asha’Man,,,2019-11-10,
Afreewhiteman,Nazi,2020-10-30,Suspended,@AFreeWhiteMan14,1238278364424810501,𝕬𝖘𝖍𝖆’𝖒𝖆𝖓,,,2020-03-12,
Afreewhiteman,Nazi,2020-11-05,Suspended,@TheFreeWhiteMan,1314017565644132352,👑🌲𝕬𝖘𝖍𝖆’𝕸𝖆𝖓🌲👑,572,,2020-10-07,
Afreewhiteman,Nazi,2021-02-27,Suspended,@NotAFreeWhiteM1,1342602062849310720,🧱⚖️ 𝕬𝖘𝖍𝖆’𝖒𝖆𝖓⚖️🧱,268,,2020-12-25,
Aims,The Shed,2021-02-18,Suspended,@snowopossum,1233390352440188928,Aimster,341,,2020-02-28,2021-02-28
Aims,The Shed,2021-06-15,Suspended,@WhiteAsSnowAim5,1377976445021126657,Aims,78,,2021-04-02,2021-06-23
Aims,The Shed,2021-06-23,Suspended,@snowyopossum,1407622162496856064,AimandFire,,,2021-06-23,2021-06-29
Aims,The Shed,2021-06-30,Suspended,@BeanerChiquita,1410369066351607821,ChiquitaBeaner,82,,2021-06-30,2021-08-20
Aims,The Shed,2021-06-30,Suspended,@ShakiraMama,1410272309810716673,Shakira,12,,2021-06-30,2021-07-31
Aims,The Shed,2021-10-04,Suspended,@aimsjustsame,1414265778438803461,Snowopossum,130,,2021-07-11,2021-10-07
Aims,The Shed,2021-10-22,Suspended,@Aimlessleigh12,1451681818655301632,aimlessleigh,,,2021-10-22,2022-01-12
Aims,The Shed,2021-10-22,Suspended,@Aimatnothing11,1431329517931479045,Take aim,95,,2021-08-27,2021-10-22
Aims,The Shed,2022-01-10,Suspended,@aimlessone_,1473741189782384647,Aimster,157,,2021-12-22,2022-01-12
Aims,The Shed,2022-01-24,Suspended,@shAIMful__,1481343783610552321,snowopossum,113,,2022-01-12,2022-01-26
Aims,The Shed,2022-01-26,Suspended,@shAimless__,1486399111704330244,aimers,,,2022-01-26,2022-01-27
Aims,The Shed,2022-01-29,Suspended,@ExclAimer__,1486826731646423047,ExclAimer!!,71,,2022-01-27,2022-01-30
Aims,The Shed,2022-01-31,Suspended,@snowcotton88,1487770880658878466,snowcotton,26,,2022-01-30,2022-02-01
Alabama Hobo,The Shed,2022-01-22,Suspended,@P4INF4CE,1432181410392166403,,,,2021-08-30,2022-01-22
Alabama Hobo,The Shed,2022-01-24,Suspended,@alabama_hobo,1481361204857741314,Alabama Hobo,150,,2022-01-12,2022-01-26
Alabama Hobo,The Shed,2022-01-26,Suspended,@alabama_gigolo,1486483791015301120,Alabama Gigolo,,,2022-01-26,2022-01-27
Alabama Hobo,The Shed,2022-01-31,Suspended,@florabama_hobo,1487561133984784391,Flor-a-Bama Hobo,111,,2022-01-29,2022-02-01
Alabama Hobo,The Shed,2022-02-01,Suspended,@TravisWaters850,1488529270989336580,Travis Waters,47,,2022-02-01,2022-02-02
Alabama Hobo,The Shed,2022-02-28,Suspended,@TORNF4CE,1497302587036651521,HOBO,,,2022-02-25,2022-02-28
Alabama Hobo,The Shed,2022-03-06,Suspended,@AlabamaAllstars,1499830988767121410,South Alabama Hobo,47,,2022-03-04,2022-03-07
Alabama Hobo,The Shed,2022-04-02,Suspended,@GhostOfAlabama,1509095998865424385,,,,2022-03-30,2022-04-02
Alba Rising,British Racist,2019-09-28,Suspended,@Alba_Returns,1177688980738981896,Alba Rising,,,2019-09-27,2019-09-30
Alba Rising,British Racist,2019-10-04,Suspended,@AlbaResurrected,1164904949429559296,Alba Rising,,,2019-08-23,2019-10-04
Alba Rising,British Racist,2020-06-08,Suspended,@Alba_Rizing,1268140701222612992,Alba,,,2020-06-03,2020-06-09
Alba Rising,British Racist,,Inactive,@Alba_Rising,794298831957475332,Alba Rising,,,,
Alba Rising,British Racist,,Suspended,@Alba_Risen,4779809419,Alba_Rising,,,,
Alles / WifeOfFloki,The Shed,2019-06-28,Suspended,@floki_not,1127097291985129478,Really Not Floki's Wife,,,2019-05-11,2019-06-29
Alles / WifeOfFloki,The Shed,2019-07-23,Suspended,@s_floki,1144839011548180480,Alles Wife of Floki,,,2019-06-29,2019-07-24
Alles / WifeOfFloki,The Shed,2019-08-31,Suspended,@alles_of,1153878725462810625,Alles wife of Floki,,,2019-07-23,2019-09-04
Alles / WifeOfFloki,The Shed,2019-09-08,Suspended,@of_alles,1170596865550815232,Alles Wife Of Floki,,,2019-09-08,
Alles / WifeOfFloki,The Shed,2019-09-13,Suspended,@Bonnie_und_Clyd,,,,,,
Alles / WifeOfFloki,The Shed,2019-09-14,Suspended,@Bonnie_undClyd,1172772262702981120,𝕬𝖑𝖑𝖊𝖘 𝖜𝖎𝖋𝖊 𝖔𝖋 𝕱𝖑𝖔𝖐𝖎,,,2019-09-14,2019-09-23
Alles / WifeOfFloki,The Shed,2019-11-04,Suspended,@wifeofFloki,1190520669454381056,Alles,,,2019-11-01,2019-11-04
Alles / WifeOfFloki,The Shed,2020-04-14,Suspended,@Wife_ofFloki,1248487688035942402,𝕬𝖑𝖑𝖊𝖘 𝖜𝖎𝖋𝖊 𝖔𝖋 𝕱𝖑𝖔𝖐𝖎,,,2020-04-10,2020-04-15
Alles / WifeOfFloki,The Shed,2020-04-16,Suspended,@WifeofFloki0,1250595165426741248,Alles Wife Of Floki,,,2020-04-16,2020-04-17
Alles / WifeOfFloki,The Shed,2020-05-13,Suspended,@HelgaWoFloki,1259385520360091650,Helga,,,2020-05-10,2020-05-14
Alles / WifeOfFloki,The Shed,2020-06-06,Suspended,@Hel_UnderworldG,1261519114423742464,Hel,,,2020-05-16,2020-06-08
Alles / WifeOfFloki,The Shed,2020-06-10,Suspended,@H_E_L_2,1270535711070904321,H_E_L,,,2020-06-10,2020-06-11
Alles / WifeOfFloki,The Shed,2020-06-20,Suspended,@GraceShelby_2,1273451762247139329,Grace Shelby,,,2020-06-18,2020-06-30
Alles / WifeOfFloki,The Shed,2020-07-03,Suspended,@Grace_Shelby_1,1271318338984009730,Grace Shelby,,,2020-06-12,
Alles / WifeOfFloki,The Shed,2020-07-20,Suspended,@Shelby_Grace21,1284346266185371652,Grace Shelby,1046,,2020-07-19,2020-10-30
Alles / WifeOfFloki,The Shed,2020-11-12,Suspended,@GShelby9,1324409889540739072,Grace Shelby,247,,2020-11-06,2021-01-02
Alles / WifeOfFloki,The Shed,2021-01-04,Suspended,@GracieS6000000,1345611979843489796,Grace Shelby,823,,2021-01-03,2021-02-27
Alles / WifeOfFloki,The Shed,2022-01-10,Suspended,@AllesWife,1473149821452173317,Alles Wife Of Floki,218,,2021-12-20,2022-01-12
Alles / WifeOfFloki,The Shed,2022-01-25,Suspended,@Wife_of_floki,1482857026858405893,Alles,146,,2022-01-16,2022-01-27
Alles / WifeOfFloki,The Shed,2022-05-01,Suspended,@WifeFloki,1519557131183165441,Alles Wife Of Floki 🇺🇲🇮🇪,,,2022-04-27,2022-05-01
Alt Skull / Puppers,The Shed,2018-06-27,Suspended,@bonewhitenatnl,984076515162779649,,,,2018-04-11,
Alt Skull / Puppers,The Shed,2018-09-17,Suspended,@alt__skull,976448857163771910,,,,2018-03-20,
Alt Skull / Puppers,The Shed,2018-09-17,Suspended,@Sh3k3l3t0r,989789180900196353,,,,2018-04-25,
Alt Skull / Puppers,The Shed,2018-10-04,Suspended,@aitskull,1263832734,,,,,
Alt Skull / Puppers,The Shed,2018-10-19,Suspended,@kababurger,3538969337,,,,,
Alt Skull / Puppers,The Shed,2018-10-20,Suspended,@whitepupper,3416245851,,,,,
Alt Skull / Puppers,The Shed,2018-12-05,Suspended,@SkullnPupFan,3409732690,,,,,
Alt Skull / Puppers,The Shed,2019-04-14,Suspended,@Alt_SkulI,884712755911155712,Alt Skull,,,2017-07-10,2019-04-15
Alt Skull / Puppers,The Shed,2019-04-27,Suspended,@AltSkull_,909811505012576256,Alt Skull,,,2017-09-18,2019-04-28
Alt Skull / Puppers,The Shed,2019-06-13,Suspended,@_AltSkull,83241000990388225,Alt Skull,,,2017-02-16,2019-06-14
Alt Skull / Puppers,The Shed,2019-08-22,Suspended,@Mister_Puppers,1121625107078639618,Mister Puppers,,,2019-04-26,2019-08-23
Alt Skull / Puppers,The Shed,2019-08-25,Suspended,@misterpuppers,3409520355,Mr. Puppers,,,,
Alt Skull / Puppers,The Shed,2019-08-25,Suspended,@Alt_Skull_,1133239582470881286,Alt Skull,,,2019-05-28,2019-08-26
Alt Skull / Puppers,The Shed,2019-09-02,Suspended,@_Alt_Skull_,1139817905581953024,Skull,,,2019-06-15,2019-09-03
Alt Skull / Puppers,The Shed,2019-09-23,Suspended,@MisterPuppers_,61564831,Mr. Puppers,,,2009-07-01,2019-09-23
Alt Skull / Puppers,The Shed,2019-09-23,Suspended,@Skull_51,55751690,Skull,,,2009-06-01,2019-09-23
Alt Skull / Puppers,The Shed,2019-10-01,Suspended,@AltSkull53,70374924,Alt Skull,,,2009-08-01,2019-10-01
Alt Skull / Puppers,The Shed,2019-10-04,Suspended,@_MisterPuppers_,54845747,Mr. Puppers,,,2019-07-05,2019-10-04
Alt Skull / Puppers,The Shed,2019-10-07,Suspended,@_SecretSkull_,30624250,,,,,
Alt Skull / Puppers,The Shed,2019-12-28,Suspended,@FrenRight,979081011802923009,Max the Sheltered Doggo,602,,2018-03-28,
Alt Skull / Puppers,The Shed,2019-12-28,Suspended,@TelegramSkull,870628206537314304,Alt Skull,,,2017-06-01,2019-12-30
Alt Skull / Puppers,The Shed,2020-04-13,Suspended,@PuppersMister,1249341153381502976,MisterPuppers,,,2020-04-12,2020-04-15
Alt Skull / Puppers,The Shed,2020-11-07,Suspended,@ApocalypseSkull,1325017083609018368,Skull,1666,,2020-11-07,2021-02-27
Alt Skull / Puppers,The Shed,2021-04-25,Suspended,@Puppers_Mister,1374438026349137933,Mister Puppers,42,,2021-03-23,2022-02-14
Alt Skull / Puppers,The Shed,2022-02-13,Suspended,@Mr_Puppers,66697956,Mister Puppers,258,,2009-08-18,2022-02-14
Alt Skull / Puppers,The Shed,2022-04-27,Suspended,@MisterPuppers48,1493218820026077184,Mister Puppers,18,,2022-02-14,2022-04-28
Alt Skull / Puppers,The Shed,2022-04-27,Suspended,@alt_skull,971027857559339008,Alt Skull,180,,2018-03-06,2022-04-28
Alt Skull / Puppers,The Shed,,Suspended,@ctrlAltdelSkull,3411661174,ctrl/Alt/del SkuII,,,,
Alt Skull / Puppers,The Shed,,Suspended,@censoredskull,3538969695,CensoredSkull,,,,
Alt Skull / Puppers,The Shed,,Suspended,@altskuII,1264001672,Spooky Skull,,,,
Alt Skull / Puppers,The Shed,,Suspended,@beefyskull,3632584875,Beefy SkuIl,,,,
Alt Skull / Puppers,The Shed,,Suspended,@ShoahedS,1003984374113550336,Alt Skull,,,,
Alt Skull / Puppers,The Shed,,Not Available,@skuggery,,,,,,
Alt Skull / Puppers,The Shed,,Suspended,@_altskull_,3651102322,,,,,
Alt Skull / Puppers,The Shed,,Suspended,@skull_alt,952461630037639169,,,,2018-01-14,
Alt Skull / Puppers,The Shed,,Suspended,@yangskull,889415452920827904,,,,2017-07-22,
Alzoura,Anitwtkkk,2021-04-23,Suspended,@applezoura,1366558464588283905,AIz🍎uraaa,323,,2021-03-02,
Alzoura,Anitwtkkk,2021-09-24,Suspended,@vignelover,1380926258058498049,Аιz💀uяa,465,,2021-04-10,
Alzoura,Anitwtkkk,2021-10-14,Suspended,@racistfren,1408071013749956608,Aʟᴢᴏᴜʀᴀ֍,243,,2021-06-24,2021-10-19
Alzoura,Anitwtkkk,2021-11-08,Suspended,@racistvigne,1451970812991479818,Aιȥσυɾα⊕,261,,2021-10-23,2022-01-26
Alzoura,Anitwtkkk,2021-11-13,Suspended,@vignephile,1452983448788942856,Aℓzσυяα🕈,236,,2021-10-26,
Alzoura,Anitwtkkk,2021-11-16,Suspended,@vignesuki,1460737848974487554,𝑨ℓzσυяαᛟ,,,2021-11-16,2021-11-25
Alzoura,Anitwtkkk,2021-11-25,Suspended,@vigneliker,1463930211611914249,𝓐ʟᴢᴏᴜʀᴀ✠,304,,2021-11-25,2021-12-13
Alzoura,Anitwtkkk,2021-11-30,Suspended,@vigneadorer,1465765117635833871,λℓzσυяα ᛟ,296,,2021-11-30,2021-12-31
Alzoura,Anitwtkkk,2021-12-05,Suspended,@patrioticvigne,1467643317424996359,Aιȥoυɾα ꖦ,92,,2021-12-05,2021-12-13
Alzoura,Anitwtkkk,2022-01-01,Suspended,@VrilFocuser,1477078812542345218,𝔸​ʟᴢoᴜʀᴀ​ ꖦ,221,,2022-01-01,2022-01-07
Alzoura,Anitwtkkk,2022-01-08,Suspended,@esotericvigne,1470553435342880771,Aʟᴢouʀᴀ ⌖,333,,2021-12-13,2022-01-12
Alzoura,Anitwtkkk,2022-01-13,Suspended,@racistcel,1479452796923617286,AƖᴢouʀᴀ ✠,176,,2022-01-07,2022-01-15
Alzoura,Anitwtkkk,2022-01-23,Suspended,@psychoincel,1482503498424008704,Alzøura ✠,286,,2022-01-15,2022-01-26
Alzoura,Anitwtkkk,2022-01-23,Suspended,@racismcel,1485373698790117378,Alzøüra ꖦ,,,2022-01-23,2022-01-27
Alzoura,Anitwtkkk,2022-01-31,Suspended,@womandenier,1486698795303899138,A❘𝕫⊘ûr⍶ ⊕,211,,2022-01-27,2022-02-01
Alzoura,Anitwtkkk,2022-02-01,Suspended,@vrilhitler,1487487250019540997,Äȴʐ𝕠𝖚ɾą,273,,2022-01-29,2022-02-02
Alzoura,Anitwtkkk,2022-02-02,Suspended,@6millionfrens,1488886236844548097,A l z o u r a,123,,2022-02-02,2022-02-03
Alzoura,Anitwtkkk,2022-02-10,Suspended,@synotheus,1488912248982618112,Synotheus ᚼ,201,,2022-02-02,2022-02-13
Alzoura,Anitwtkkk,2022-02-12,Suspended,@incelracism,1491250221921230852,Synothэus,232,,2022-02-08,2022-02-13
Alzoura,Anitwtkkk,2022-02-13,Suspended,@lTS0VER,1492843398474178560,ϟᛉИ⨁,175,,2022-02-13,2022-02-14
Alzoura,Anitwtkkk,2022-02-14,Suspended,@vigneism,1493082797891891203,Sγη❍,200,,2022-02-13,2022-02-15
Alzoura,Anitwtkkk,2022-02-15,Suspended,@persecutedvigne,1493587263841873922,⚡,192,,2022-02-15,2022-02-16
Alzoura,Anitwtkkk,2022-02-16,Suspended,@purpleincel,1493988938259836934,☠️,64,,2022-02-16,2022-02-17
Alzoura,Anitwtkkk,2022-02-17,Suspended,@m4a1fan,1494325571899183106,ᛇ,13,,2022-02-17,2022-02-18
Alzoura,Anitwtkkk,2022-02-18,Suspended,@amphetamineuser,1494677725969362945,,,,2022-02-19,2022-02-19
Alzoura,Anitwtkkk,2022-02-25,Suspended,@womandetester,1495087412380409856,✠,73,,2022-02-19,2022-02-25
Alzoura,Anitwtkkk,2022-02-27,Suspended,@cynicalvigne,1496681450996998147,Alzoura,154,,2022-02-23,2022-02-28
Alzoura,Anitwtkkk,2022-03-01,Suspended,@vrilzoura,1498327312907083778,AIzoura,184,,2022-02-28,2022-03-01
Alzoura,Anitwtkkk,2022-03-02,Suspended,@Racistlncel,1498627101049737222,Ƨ⍦ИØ,159,,2022-03-01,2022-03-03
Alzoura,Anitwtkkk,2022-03-03,Suspended,@ThuleBeliever,1499352185620021255,Strychnine,105,,2022-03-03,2022-03-11
Alzoura,Anitwtkkk,2022-03-03,Suspended,@rapistofkyiv,1498926398798508032,Sy,200,,2022-03-02,2022-03-04
Alzoura,Anitwtkkk,2022-03-04,Suspended,@womanremover,1499726802092232711,Sφnϕthɘµs ꑭ,174,,2022-03-04,2022-03-05
Alzoura,Anitwtkkk,2022-03-14,Suspended,@SarinInhaler,1503357946981494784,Sarin,6,,2022-03-14,2022-03-16
Alzoura,Anitwtkkk,2022-03-15,Suspended,@womanloather,1503777637214437381,Alz,45,,2022-03-15,2022-03-16
Alzoura,Anitwtkkk,2022-03-21,Suspended,@AcidMixer,1503883556535349248,A I z,158,,2022-03-15,2022-03-22
Alzoura,Anitwtkkk,2022-04-19,Suspended,@vignecel,1516379199497400327,Alzoμra,196,,2022-04-19,2022-04-21
Alzoura,Anitwtkkk,2022-05-01,Suspended,@rawmiIkenjoyer,1517089005090877440,Macbeth 🥀,213,,2022-04-21,2022-05-02
Alzoura,Anitwtkkk,2022-07-14,Suspended,@vignewaffen,,,,,,2022-07-14
Amerikaner,America First,2022-02-04,Suspended,@amerikanerrrrr,1468597210413924352,"6'8"" IQ 158 🇺🇸✝️🌲",336,,2021-12-08,2022-02-08
Amerikaner,America First,2022-03-16,Suspended,@amerikanerrr,1491214981198749697,6’8” IQ 158.0 🇺🇸🇷🇺✝️🌲❄️🥶,658,,2022-02-08,2022-03-17
Amerikaner,America First,2022-03-17,Suspended,@License_2_Vril,1484682515935862789,🇺🇸Amerikaner🌲,68,,2022-01-21,2022-03-18
Amerikaner,America First,2022-03-18,Suspended,@amerikanerrrr,1504669501769535509,"6'8"" IQ 158 🇺🇸✝️🌲",96,,2022-02-18,2022-03-18
Amerikaner,America First,2022-03-19,Suspended,@ameriikaner,1504876512830529539,laying low,9,,2022-03-18,2022-03-20
Amerikaner,America First,2022-03-23,Suspended,@k4n3rr,1505730491621810176,Towering Erudite,56,,2022-03-21,2022-03-23
Amerikaner,America First,2022-04-24,Suspended,@m3r1k4n3r,1507340347973816345,,,,2022-03-24,2022-04-25
Amerikaner,America First,2022-04-30,Suspended,@renakirema,1518605252722835457,6’8” IQ 158 🇺🇸✝️🌲,249,,2022-04-25,2022-05-03
Amerikaner,America First,2022-05-05,Suspended,@kanerrrrrrrrrr,1521957634080792576,Towering Erudite ❄️ (REF0LL0W),90,,2022-05-04,2022-05-06
Amerikaner,America First,2022-05-13,Suspended,@ameriiiiiikaner,1522794898201710593,Colossal & Witty ❄️,173,,2022-05-06,2022-05-15
Amerikaner,America First,2022-05-19,Suspended,@aameeriikaaneer,,,,,,2022-05-19
Amerikaner,America First,2022-05-21,Suspended,@ammerrikkannerr,1527275548908703744,tawl and hahy ikyood,81,,2022-05-19,2022-05-21
Amerikaner,America First,2022-05-28,Suspended,@ameri_____kaner,1528377197542653952,,,,2022-05-22,2022-05-29
Amerikaner,America First,2022-05-31,Suspended,@aaaaaamerikaner,,,,,,2022-05-31
Amerikaner,America First,2022-06-13,Suspended,@Vril_Farmer,1522003099279585280,,,,2022-05-04,2022-06-13
Amerikaner,America First,2022-06-16,Suspended,@Vril_hunt,,,,,,
Amerikaner,America First,2022-07-06,Suspended,@AmerikanerFFF,,,,,,2022-07-06
Amerikaner,America First,2022-07-07,Suspended,@kxaxnxexr,,,,,,2022-07-07
Amerimutt,RGC adj,2022-02-01,Suspended,@amerimutt5,1474571955026243588,amerimutt,159,,2021-12-24,2022-02-08
Amerimutt,RGC adj,2022-02-05,Suspended,@Amerimuttv2,1481347593045217280,Amerimutt 🐬,246,,2022-01-12,2022-02-08
Amerimutt,RGC adj,2022-02-10,Suspended,@AmerimuttP,1490760304300539911,Amerimutt patriot,114,,2022-02-07,2022-02-11
Amerimutt,RGC adj,2022-02-13,Suspended,@Americanmuttman,1492276706320736259,Americanmuttnationalist,60,,2022-02-11,2022-02-14
Amerimutt,RGC adj,2022-02-20,Suspended,@wignatmutt,1493267590462025728,wignatmutt,73,,2022-02-14,
Amerimutt,RGC adj,2022-02-26,Suspended,@Amerimut7,1162787749553987584,hi,58,,2019-08-17,
Amerimutt,RGC adj,2022-02-27,Suspended,@Muttameriwignat,1496273606720081927,Mutt,59,,2022-02-22,2022-02-28
Amerimutt,RGC adj,2022-03-01,Suspended,@ameriwigmuttnat,1496339707835428864,Ameriwigmuttnat,58,,2022-02-22,2022-03-02
Amerimutt,RGC adj,2022-03-09,Suspended,@wigamerinatmutt,1499026276212002821,Wigamerinatmutt,26,,2022-03-02,2022-03-14
Amerimutt,RGC adj,2022-03-13,Suspended,@amerimalemutt14,1500334094512754688,Baz bill,32,,2022-03-05,2022-03-12
Amerimutt,RGC adj,2022-03-16,Suspended,@patirotmuttamer,1503571598506442752,American,27,,2022-03-14,2022-03-17
Amerimutt,RGC adj,2022-03-17,Suspended,@Whiterage81,1369344152866000909,🏴‍☠️Oppressed Amerimutt (Z) 5% ⛅🇵🇸 🇨🇳 🇷🇺,217,,2021-03-09,2022-03-18
Amerimutt,Nazi,2022-06-08,Suspended,@whiterage107,,,,,,2022-06-08
Ames,Shed adj,2017-09-07,Suspended,@VivaLaAmes11,825501626,Amy Moreno,,,,
Ames,Shed adj,2017-09-15,Suspended,@VivaLaAmesX,842745159032827904,AmesOk hand,,,2017-03-17,
Ames,Shed adj,2017-12-19,Name Change,@VivaLaPurge,193585451,,,,,
Ames,Shed adj,2018-02-02,Suspended,@VivaLaAmes12,193585451,Ames,,,,
Ames,Shed adj,2018-03-02,Suspended,@VivaLaBackup,2843159182,Ames Tongue *SUCK CUCK*,,,,
Ames,Shed adj,2018-07-15,Suspended,@vivalaames13,984490146971226113,,,,2018-04-11,
